state,pincode,year,quater,registered_user
arunachal pradesh,791110,2021,q3,30734
arunachal pradesh,791111,2021,q3,27265
arunachal pradesh,791113,2021,q3,19520
arunachal pradesh,791102,2021,q3,18855
arunachal pradesh,791001,2021,q3,14519
arunachal pradesh,792103,2021,q3,14068
arunachal pradesh,792001,2021,q3,11487
arunachal pradesh,790104,2021,q3,10467
arunachal pradesh,792110,2021,q3,9990
arunachal pradesh,791109,2021,q3,9111
arunachal pradesh,791110,2021,q4,32931
arunachal pradesh,791111,2021,q4,29128
arunachal pradesh,791113,2021,q4,20914
arunachal pradesh,791102,2021,q4,20261
arunachal pradesh,791001,2021,q4,15589
arunachal pradesh,792103,2021,q4,15154
arunachal pradesh,792001,2021,q4,12358
arunachal pradesh,790104,2021,q4,11211
arunachal pradesh,792110,2021,q4,10752
arunachal pradesh,791109,2021,q4,9729
arunachal pradesh,791110,2022,q1,34915
arunachal pradesh,791111,2022,q1,30912
arunachal pradesh,791113,2022,q1,22258
arunachal pradesh,791102,2022,q1,21601
arunachal pradesh,791001,2022,q1,16600
arunachal pradesh,792103,2022,q1,16282
arunachal pradesh,792001,2022,q1,13172
arunachal pradesh,790104,2022,q1,11905
arunachal pradesh,792110,2022,q1,11479
arunachal pradesh,791109,2022,q1,10306
arunachal pradesh,791110,2022,q2,36914
arunachal pradesh,791111,2022,q2,32620
arunachal pradesh,791113,2022,q2,23506
arunachal pradesh,791102,2022,q2,22850
arunachal pradesh,791001,2022,q2,17531
arunachal pradesh,792103,2022,q2,17259
arunachal pradesh,792001,2022,q2,13915
arunachal pradesh,790104,2022,q2,12565
arunachal pradesh,792110,2022,q2,12124
arunachal pradesh,791109,2022,q2,10908
arunachal pradesh,791110,2022,q3,39026
arunachal pradesh,791111,2022,q3,34393
arunachal pradesh,791113,2022,q3,24830
arunachal pradesh,791102,2022,q3,24093
arunachal pradesh,791001,2022,q3,18476
arunachal pradesh,792103,2022,q3,18186
arunachal pradesh,792001,2022,q3,14676
arunachal pradesh,790104,2022,q3,13227
arunachal pradesh,792110,2022,q3,12755
arunachal pradesh,791109,2022,q3,11498
arunachal pradesh,791110,2022,q4,40977
arunachal pradesh,791111,2022,q4,36205
arunachal pradesh,791113,2022,q4,26077
arunachal pradesh,791102,2022,q4,25161
arunachal pradesh,791001,2022,q4,19310
arunachal pradesh,792103,2022,q4,19033
arunachal pradesh,792001,2022,q4,15408
arunachal pradesh,790104,2022,q4,13837
arunachal pradesh,792110,2022,q4,13271
arunachal pradesh,791109,2022,q4,12089
assam,781032,2018,q1,7209
assam,781001,2018,q1,5507
assam,781022,2018,q1,5418
assam,781038,2018,q1,4731
assam,783380,2018,q1,4571
assam,785001,2018,q1,4526
assam,781011,2018,q1,4127
assam,786001,2018,q1,4122
assam,781009,2018,q1,3639
assam,781028,2018,q1,3517
assam,781032,2018,q2,10189
assam,781022,2018,q2,7914
assam,781001,2018,q2,7685
assam,781038,2018,q2,6711
assam,783380,2018,q2,6411
assam,785001,2018,q2,6375
assam,781011,2018,q2,5954
assam,786001,2018,q2,5881
assam,781009,2018,q2,5216
