state,pincode,year,quater,transaction_count,transaction_amount
andhra pradesh,530026,2021,q1,5875319,13567044097.312927
andhra pradesh,517501,2021,q1,4354325,8224302893.470669
andhra pradesh,520002,2021,q1,3591058,9183853695.408499
andhra pradesh,517507,2021,q1,3378549,6593121540.981036
andhra pradesh,530016,2021,q1,3144495,5679150412.005564
andhra pradesh,516001,2021,q1,2941623,7434205012.068323
andhra pradesh,515001,2021,q1,2815993,6225481722.602297
andhra pradesh,522001,2021,q1,2584588,6753205746.899624
andhra pradesh,520010,2021,q1,2291676,4716738889.930448
andhra pradesh,524002,2021,q2,11023032,25519404146.52658
andhra pradesh,530026,2021,q2,7850540,19042845773.20165
andhra pradesh,520002,2021,q2,5441708,14948864290.86964
andhra pradesh,517501,2021,q2,4614209,9215678010.439575
andhra pradesh,517507,2021,q2,3834825,7940105016.380435
andhra pradesh,522001,2021,q2,3427039,9832657321.439524
andhra pradesh,515001,2021,q2,3052771,7213837063.020088
andhra pradesh,530016,2021,q2,2892664,5705916880.595729
andhra pradesh,516001,2021,q2,2613562,7256266063.657529
andhra pradesh,518002,2021,q2,2553688,5906664130.524334
andhra pradesh,524002,2021,q3,10701326,23300508690.71216
andhra pradesh,530026,2021,q3,9780096,22841763578.29273
andhra pradesh,517501,2021,q3,5982442,11419848822.233982
andhra pradesh,520002,2021,q3,5320101,14633600592.216694
andhra pradesh,517507,2021,q3,4866065,9768221617.56348
andhra pradesh,522001,2021,q3,4242875,11355623168.660927
andhra pradesh,530016,2021,q3,4177023,7797927714.306906
andhra pradesh,515001,2021,q3,4040160,8752025049.046715
andhra pradesh,516001,2021,q3,3370675,8720115499.341372
andhra pradesh,520010,2021,q3,3206301,6832329071.6628275
andhra pradesh,524002,2021,q4,14158439,30358274591.367683
andhra pradesh,530026,2021,q4,10216678,24428085477.49295
andhra pradesh,517501,2021,q4,7246667,13514835187.056923
andhra pradesh,517507,2021,q4,5790910,11415016234.059563
andhra pradesh,520002,2021,q4,5716025,15397268124.171196
andhra pradesh,530016,2021,q4,5252680,9484946022.822403
andhra pradesh,522001,2021,q4,4989759,13298088500.28115
andhra pradesh,515001,2021,q4,4892740,10235401678.208153
andhra pradesh,520010,2021,q4,4198904,8551737728.052567
andhra pradesh,516001,2021,q4,4058071,10324818012.146276
andhra pradesh,524002,2022,q1,16133298,35123754551.39544
andhra pradesh,530026,2022,q1,10293117,25355928765.674084
andhra pradesh,517501,2022,q1,8062447,14807178133.005922
andhra pradesh,517507,2022,q1,6660899,12913687866.526722
andhra pradesh,520002,2022,q1,6254668,16297042494.467913
andhra pradesh,522001,2022,q1,5691035,15226428277.57111
andhra pradesh,515001,2022,q1,5585462,11393585212.479506
andhra pradesh,530016,2022,q1,5554647,9991176892.061853
andhra pradesh,516001,2022,q1,4513789,11365056779.562836
andhra pradesh,520010,2022,q1,4492155,9108501441.854177
andhra pradesh,524002,2022,q2,18822839,40556750377.6809
andhra pradesh,530026,2022,q2,12256092,29600523030.089485
andhra pradesh,517501,2022,q2,9320394,17071503296.033054
andhra pradesh,517507,2022,q2,7667416,14863715364.820652
andhra pradesh,520002,2022,q2,7584902,19447767871.79056
andhra pradesh,530016,2022,q2,6470271,11522114399.303429
andhra pradesh,515001,2022,q2,6291639,12847256630.386038
andhra pradesh,522001,2022,q2,6073875,16041957319.95133
andhra pradesh,520010,2022,q2,5301338,10747157085.983915
andhra pradesh,516001,2022,q2,4927880,12452111307.590088
andhra pradesh,530026,2022,q3,10427710,24452749355.343765
andhra pradesh,517501,2022,q3,9028550,16685152652.27945
andhra pradesh,517507,2022,q3,7638906,14893051968.861427
andhra pradesh,524002,2022,q3,6897466,17798259711.658493
andhra pradesh,522001,2022,q3,6608575,14799455202.072798
andhra pradesh,520002,2022,q3,6370783,17359205738.798397
andhra pradesh,530016,2022,q3,6352195,11280121649.92772
andhra pradesh,515001,2022,q3,6120942,12350133591.116642
andhra pradesh,520010,2022,q3,5372903,10801020194.878735
